# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      63.36
1                      61.69
2                      61.67
4                      61.91
8                      62.46
16                     63.27
32                     64.77
64                     65.33
128                    66.99
256                    70.10
512                    77.24
1024                   88.24
2048                  104.43
4096                  161.21
8192                  163.91
16384                 222.84
32768                 376.45
65536                 649.90
131072               1334.04
262144               2458.71
524288               4696.59
1048576              9170.34
2097152             18103.45
