# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      34.20
1                      31.79
2                      31.97
4                      32.27
8                      32.25
16                     32.26
32                     34.75
64                     34.65
128                    34.60
256                    34.73
512                    35.03
1024                   34.63
2048                   45.77
4096                   47.50
8192                   55.87
16384                  70.31
32768                  91.34
65536                 153.20
131072                283.12
262144                429.65
524288                636.97
1048576              1107.82
2097152              2000.93
